f (kHz),¦¤f (kHz),V (V),¦¤V (V),¦Õ (¡ã),¦¤¦Õ (¡ã),¦Õ (rad),¦¤¦Õ (rad)
30,0.1,0.7,0.01,11,1,0.19,0.02
35,0.1,0.79,0.01,15,1,0.26,0.02
40,0.1,0.92,0.01,20,1,0.35,0.02
43,0.1,1.02,0.01,25,2,0.44,0.03
45,0.1,1.11,0.01,30,2,0.52,0.03
45.5,0.1,1.12,0.01,,,,
46,0.1,1.16,0.01,,,,
46.5,0.1,1.18,0.01,,,,
47,0.1,1.21,0.01,,,,
47.5,0.1,1.23,0.01,,,,
48,0.1,1.26,0.01,,,,
48.5,0.1,1.28,0.01,,,,
49,0.1,1.32,0.01,,,,
49.5,0.1,1.34,0.01,,,,
50,0.1,1.38,0.01,46,2,0.8,0.03
50.5,0.1,1.4,0.01,,,,
51,0.1,1.43,0.01,,,,
51.5,0.1,1.45,0.01,,,,
52,0.1,1.49,0.01,54,1,0.94,0.02
52.5,0.1,1.51,0.01,,,,
53,0.1,1.54,0.01,,,,
53.5,0.1,1.56,0.01,,,,
54,0.1,1.58,0.01,64,1,1.12,0.02
54.5,0.1,1.6,0.01,,,,
55,0.1,1.61,0.01,70,1,1.22,0.02
55.1,0.1,1.61,0.01,,,,
55.1,0.1,1.61,0.01,,,,
55.3,0.1,1.62,0.01,,,,
55.4,0.1,1.62,0.01,,,,
55.5,0.1,1.62,0.01,74,1,1.29,0.02
55.6,0.1,1.62,0.01,,,,
55.7,0.1,1.63,0.01,,,,
55.8,0.1,1.63,0.01,,,,
55.9,0.1,1.63,0.01,,,,
56,0.1,1.63,0.01,77,1,1.34,0.02
56.1,0.1,1.63,0.01,,,,
56.2,0.1,1.63,0.01,,,,
56.3,0.1,1.63,0.01,,,,
56.4,0.1,1.63,0.01,,,,
56.5,0.1,1.63,0.01,80,1,1.4,0.02
56.6,0.1,1.63,0.01,,,,
56.7,0.1,1.63,0.01,,,,
56.8,0.1,1.62,0.01,,,,
56.9,0.1,1.62,0.01,,,,
57,0.1,1.62,0.01,,,,
57.5,0.1,1.62,0.01,,,,
58,0.1,1.6,0.01,90,1,1.57,0.02
58.5,0.1,1.59,0.01,,,,
59,0.1,1.56,0.01,,,,
59.5,0.1,1.54,0.01,,,,
60,0.1,1.51,0.01,103,1,1.8,0.02
60.5,0.1,1.48,0.01,,,,
61,0.1,1.45,0.01,,,,
61.5,0.1,1.41,0.01,,,,
62,0.1,1.38,0.01,114,2,1.99,0.03
62.5,0.1,1.34,0.01,,,,
63,0.1,1.3,0.01,,,,
63.5,0.1,1.26,0.01,,,,
64,0.1,1.22,0.01,,,,
64.5,0.1,1.19,0.01,,,,
65,0.1,1.16,0.01,,,,
65.5,0.2,1.11,0.01,,,,
66,0.1,1.08,0.01,,,,
66.4,0.1,1.05,0.01,,,,
67,0.1,1.02,0.01,,,,
67,0.1,,,133,2,2.32,0.03
69.9,0.2,,,141,2,2.46,0.03
72,0.1,0.76,0.01,,,,
72,0.1,,,144,1,2.51,0.02
77,0.2,,,151,2,2.64,0.03
82,0.2,,,156,2,2.72,0.03
